,Varianta,Procent varianta,Varianta cumulata,Procent cumulat
comp1,214423252545.36,98.474,214423252545.36,98.474
comp2,3150587061.516,1.447,217573839606.876,99.921
comp3,173035452.602,0.079,217746875059.478,100.0
comp4,90882.412,0.0,217746965941.891,100.0
comp5,6342.165,0.0,217746972284.055,100.0
comp6,2392.33,0.0,217746974676.386,100.0
comp7,1800.34,0.0,217746976476.726,100.0
comp8,355.011,0.0,217746976831.737,100.0
comp9,189.405,0.0,217746977021.142,100.0
comp10,40.992,0.0,217746977062.134,100.0
comp11,8.801,0.0,217746977070.935,100.0
comp12,0.0,0.0,217746977070.936,100.0
comp13,0.0,0.0,217746977070.936,100.0
